id,first_name,last_name,username,password,birthday,address,phone,sss,tin,pagibig,status,designation,supervisor,basic_salary,rice_subsidy,phone_allowance,clothing_allowance,gross_semi_monthly_rate,hourly_rate,philhealth
1,Manuel III,Garcia,m.garcia,garcia12345qwert,11/10/1983,"Valero Carpark Building Valero Street 1227, Makati City",966-860-270,44-4506057-3,442-605-657-000,6.91E+11,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,535.71,8.20E+11
2,Antonio,Lim,a.lim,lim12345qwert,19/06/1988,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411,52-2061274-9,683-102-776-000,6.64E+11,Regular,Chief Operating Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357.14,3.32E+11
3,Brad,San Jose,b.sanjose,sanjose12345qwert,03/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,672-474-690-000,2.11E+11,Regular,HR Team Leader,"Villanueva, Andrea Mae",42975,1500,800,800,21487.5,255.8,2.39E+11
4,Rosie,Atienza,r.atienza,atienza12345qwert,09/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,604-997-793-000,2.60E+11,Regular,HR Rank and File,"San, Jose Brad",22500,1500,500,500,11250,133.93,7.09E+11
5,Roderick,Alvaro,r.alvaro,alvaro12345qwert,03/30/1988,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386,64-7605054-4,525-420-419-000,7.99E+11,Regular,Accounting Head,"Aquino, Bianca Sofia",52670,1500,1000,1000,26335,313.51,5.78E+11
6,Bianca Sofia,Aquino,bs.aquino,aquino12345qwert,04/08/1989,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",999-889-370,30-8870406-2,971-711-280-000,1.72E+11,Regular,Chief Finance Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357.14,1.77E+11
7,Goku,Son,r.isabella,isabella12345qwert,28/02/1996,#5 Nemic St. Saiyan Vill. Dragon City,9678678678,40-2511815-0,3.42E+11,876-809-437-000,Regular,Chief Marketing Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,313.51,4.17E+11
8,Eduard,Hernandez,e.hernandez,hernandez12345qwert,09/23/1989,"National Highway, Gingoog,  Misamis Occidental",088-861-012,50-5577638-1,031-702-374-000,9.52E+11,Regular,IT Operations and Systems,"Lim, Antonio",52670,1500,1000,1000,26335,313.51,9.57E+11
9,Andrea Mae,Villanueva,am.villanueva,villanueva12345qwert,02/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Pi?as 4783 Dinagat Islands",918-621-603,49-1632020-8,317-674-022-000,4.41E+11,Regular,HR Manager,"Lim, Antonio",52670,1500,1000,1000,26335,313.51,3.82E+11
10,Alice,Romualdez,a.romualdez,romualdez12345qwert,05/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte",983-606-799,55-4476527-2,888-572-294-000,2.11E+11,Regular,HR Rank and File,"San, Jose Brad",22500,1500,500,500,11250,133.93,5.46E+11
11,Anthony,Salcedo,a.salcedo,salcedo12345qwert,09/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,210-805-911-000,2.18E+11,Regular,Payroll Manager,"Alvaro, Roderick",50825,1500,1000,1000,25412.5,302.53,1.26E+11
12,Josie,Lopez,j.lopez,lopez12345qwert,01/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,218-489-737-000,1.13E+11,Regular,Payroll Team Leader,"Salcedo, Anthony",38475,1500,800,800,19237.5,229.02,4.32E+11
13,Martha,Farala,m.farala,farala12345qwert,01/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",329-034-366,45-5656375-0,210-835-851-000,6.31E+11,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1500,500,500,12000,142.86,2.34E+11
14,Leila,Martinez,l.martinez,martinez12345qwert,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino",877-110-749,27-2090996-4,275-792-513-000,1.01E+11,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1500,500,500,12000,142.86,5.16E+11
15,Fredrick,Romualdez,f.romualdez,romualdez12345qwert,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,598-065-761-000,2.23E+11,Regular,Account Manager,"Lim, Antonio",53500,1500,1000,1000,26750,318.45,3.08E+11
16,Christian,Mata,c.mata,mata12345qwert,10/21/1987,"90 O''Keefe Spur Apt. 379, Catigbian 2772 Sulu",783-776-744,49-2959312-6,103-100-522-000,6.31E+11,Regular,Account Team Leader,"Romualdez, Fredrick",42975,1500,800,800,21487.5,255.8,8.24E+11
17,Selena,De Leon,s.deleon,deleon12345qwert,02/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,482-259-498-000,7.19E+11,Regular,Account Team Leader,"Romualdez, Fredrick",41850,1500,800,800,20925,249.11,5.87E+11
18,Allison,San Jose,a.sanjose,sanjose12345qwert,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,121-203-336-000,1.15E+11,Regular,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,133.93,7.45E+11
19,Cydney,Rosario,c.rosario,rosario12345qwert,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,122-244-511-000,2.65E+11,Regular,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,133.93,5.79E+11
20,Mark,Bautista,m.bautista,bautista12345qwert,02/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,273-970-941-000,2.60E+11,Regular,Account Rank and File,"Mata, Christian",23250,1500,500,500,11625,138.39,4.00E+11
